custodian,field,source,definition,normalized
fidelity,account_type,1,Cash,
fidelity,account_type,2,Margin,
fidelity,account_type,3,Short,
fidelity,account_type,4,Legal Hold and Repo,
fidelity,account_type,5,Restricted Shares Position,
fidelity,account_type,6,Finance,
fidelity,account_type,7,Partially Called Bonds,
fidelity,account_type,8,When Issued,
fidelity,account_type,9,Dividends/Bonds Interest Accumulation,
fidelity,security_type_description,NULL,Foreign currency (FX) position,
fidelity,security_type_description,0,Non-Fidelity Mutual Funds,
fidelity,security_type_description,1,Common Stock,
fidelity,security_type_description,2,Preferred Stock,
fidelity,security_type_description,3,Rights/Warrants,
fidelity,security_type_description,4,When Issued,
fidelity,security_type_description,5,Corporate and non-U.S. Government Debt,
fidelity,security_type_description,6,Municipal Debt,
fidelity,security_type_description,7,Government Debt,
fidelity,security_type_description,8,Option,
fidelity,security_type_description,9,Unit,
fidelity,security_type_description,B,Bankers Acceptance,
fidelity,security_type_description,C,Certificates of Deposit,
fidelity,security_type_description,F,Fidelity Mutual Funds,
fidelity,security_type_description,P,Commercial Paper,
schwab,account_type,CASH,Cash,
schwab,account_type,MARGIN,Margin,
schwab,security_type_description,ca,Cash and Equivalents,
schwab,security_type_description,cb,Corporate Bond,
schwab,security_type_description,cd,Certificate of Deposit,
schwab,security_type_description,cl,Call Option,
schwab,security_type_description,cp,Convertible Preferred Stock,
schwab,security_type_description,cs,Common Stock,
schwab,security_type_description,cv,Convertible Bond,
schwab,security_type_description,dl,Reorganization,
schwab,security_type_description,ep,Expense,
schwab,security_type_description,ex,Expense,
schwab,security_type_description,gb,Government Bond,
schwab,security_type_description,gm,"GNMA, GNMA, FHLMC, Mortgage-pools, CMO's, etc",
schwab,security_type_description,ip,Index Participation Contracts,
schwab,security_type_description,mb,Municipal Bond,
schwab,security_type_description,mf,Mutual Fund - Taxable,
schwab,security_type_description,mn,Mutual Fund - Non-Taxable,
schwab,security_type_description,oa,Other Assets,
schwab,security_type_description,ps,Preferred Stock,
schwab,security_type_description,pt,Put Option,
schwab,security_type_description,tb,Treasury Bill,
schwab,security_type_description,tn,Treasury Note,
schwab,security_type_description,un,UIT - Non-Taxable,
schwab,security_type_description,ut,UIT - Taxable,
schwab,security_type_description,wt,Warrants,
schwab,security_type_description,zt,Zero Coupon Bonds - Taxable,
pershing,cost_basis,AV,Average Cost,
pershing,cost_basis,FI,"First In, First Out",
pershing,cost_basis,HC,High Cost,
pershing,cost_basis,HL,High Cost Long Term,
pershing,cost_basis,HS,High Cost Short Term,
pershing,cost_basis,LC,Low Cost,
pershing,cost_basis,LI,"Last In, First Out",
pershing,cost_basis,LL,Low Cost Long Term,
pershing,cost_basis,LS,Low Cost Short Term,
pershing,cost_basis,MS,Minimize Short Term Gains,
lpl,security_type_description,AI,Alternative Investment,
lpl,security_type_description,AP,Annuity Plus,
lpl,security_type_description,CB,Corporate Bond,
lpl,security_type_description,CD,Certificate of Deposit,
lpl,security_type_description,CH,Cash,
lpl,security_type_description,CS,Common Stock,
lpl,security_type_description,FA,Fixed Annuity,
lpl,security_type_description,GB,Government Bond,
lpl,security_type_description,IC,Insured Cash Account,
lpl,security_type_description,LI,Life Insurance,
lpl,security_type_description,LP,Limited Partnership,
lpl,security_type_description,MB,Municipal Bond,
lpl,security_type_description,MC,Mutual Fund - Closed-end/ETFs,
lpl,security_type_description,MF,Mutual Fund - Open-end,
lpl,security_type_description,MM,Money Market,
lpl,security_type_description,MO,Mortgage-Backed Bond,
lpl,security_type_description,OP,Equity and Index Options,
lpl,security_type_description,OS,Other Securities,
lpl,security_type_description,OT,Other,
lpl,security_type_description,PF,Preferred Stock,
lpl,security_type_description,RE,Real Estate,
lpl,security_type_description,RT,Right,
lpl,security_type_description,ST,Strip Bond,
lpl,security_type_description,UN,Unit,
lpl,security_type_description,UT,Unit Investment Trust,
lpl,security_type_description,VA,Variable Annuity,
lpl,security_type_description,VL,Variable Universal Life,
lpl,security_type_description,WT,Warrant,
pershing,account_type,0,Cash on Delivery,
pershing,account_type,1,Cash or Margin/Principal Accounting for Bank Custody,
pershing,account_type,3,Short,
pershing,account_type,8,Precious Metals,
pershing,account_type,9,Income/Income Accounting for Bank Custody,
